date,portfolio,cumulative_return
2021-03-15,Equal Weight,0.7128028318947555
2021-03-16,Equal Weight,0.710948944504942
2021-03-17,Equal Weight,0.7259031404137672
2021-03-18,Equal Weight,0.7486661193603716
2021-03-19,Equal Weight,0.7357999454015709
2021-03-22,Equal Weight,0.7303539594519866
2021-03-23,Equal Weight,0.7138397567384085
2021-03-24,Equal Weight,0.6729063884258621
2021-03-25,Equal Weight,0.669296548642127
2021-03-26,Equal Weight,0.674230473197641
2021-03-29,Equal Weight,0.7008499524154572
2021-03-30,Equal Weight,0.7268290743614068
2021-03-31,Equal Weight,0.741465717153291
2021-04-01,Equal Weight,0.7807210718632809
2021-04-02,Equal Weight,0.797367395858269
2021-04-05,Equal Weight,0.8052461760572602
2021-04-06,Equal Weight,0.8096962382978874
2021-04-07,Equal Weight,0.8133464145809852
2021-04-08,Equal Weight,0.8043340858178314
2021-04-09,Equal Weight,0.8046791396249366
2021-04-12,Equal Weight,0.8300023621836483
2021-04-13,Equal Weight,0.815152624664758
2021-04-14,Equal Weight,0.827582012126513
2021-04-15,Equal Weight,0.8043778827946677
2021-04-16,Equal Weight,0.7864344243994572
2021-04-19,Equal Weight,0.8235644308081838
2021-04-20,Equal Weight,0.8346288881126251
2021-04-22,Equal Weight,0.7713116344293827
2021-04-23,Equal Weight,0.8112034849741592
2021-04-26,Equal Weight,0.7717825212446541
2021-04-27,Equal Weight,0.7737097295138493
2021-04-28,Equal Weight,0.7902999100177348
2021-04-29,Equal Weight,0.8096127537942828
2021-05-04,Equal Weight,0.8119444255736101
2021-05-05,Equal Weight,0.8352663256772281
2021-05-06,Equal Weight,0.8270208418305924
2021-05-07,Equal Weight,0.8224763448016368
2021-05-10,Equal Weight,0.8628449646587668
2021-05-11,Equal Weight,0.8541382464804834
2021-05-12,Equal Weight,0.8815607084137409
2021-05-13,Equal Weight,0.8810518686576267
2021-05-14,Equal Weight,0.9002724101595181
2021-05-17,Equal Weight,0.8863601461062993
2021-05-18,Equal Weight,0.8795018165560278
2021-05-19,Equal Weight,0.9034783963502302
2021-05-20,Equal Weight,0.930250752446264
2021-05-21,Equal Weight,0.9378690609273626
2021-05-24,Equal Weight,0.9596949888452613
2021-05-25,Equal Weight,0.981966931171788
2021-05-26,Equal Weight,1.0037535958360628
2021-05-27,Equal Weight,0.9787550738611419
2021-05-28,Equal Weight,1.0155741013828563
2021-05-31,Equal Weight,1.0400254200103034
2021-06-01,Equal Weight,1.048531783111481
2021-06-02,Equal Weight,1.0561341989751076
2021-06-03,Equal Weight,1.1003209302354193
2021-06-04,Equal Weight,1.1156583749734232
2021-06-07,Equal Weight,1.0818740425196345
2021-06-08,Equal Weight,1.0120781639240564
2021-06-09,Equal Weight,1.0462897587894209
2021-06-10,Equal Weight,1.024393483664868
2021-06-11,Equal Weight,1.077792648393776
2021-06-14,Equal Weight,1.0915078798022626
2021-06-15,Equal Weight,1.093960380749596
2021-06-16,Equal Weight,1.0691535763230484
2021-06-17,Equal Weight,1.0816831517806498
2021-06-18,Equal Weight,1.101784730807983
2021-06-21,Equal Weight,1.0894582266247808
2021-06-22,Equal Weight,1.1037129402351904
2021-06-23,Equal Weight,1.10023039167092
2021-06-24,Equal Weight,1.104487838526174
2021-06-25,Equal Weight,1.1195765073634867
2021-06-28,Equal Weight,1.152031431643071
2021-06-29,Equal Weight,1.1587653086568728
2021-06-30,Equal Weight,1.153286707702768
2021-07-01,Equal Weight,1.171434165636927
2021-07-02,Equal Weight,1.187029944472159
2021-07-05,Equal Weight,1.1880978319350377
2021-07-06,Equal Weight,1.0926697938264636
2021-07-07,Equal Weight,1.153821008123662
2021-07-08,Equal Weight,1.1399508651542756
2021-07-09,Equal Weight,1.0929281946188416
2021-07-12,Equal Weight,1.0083968539803392
2021-07-13,Equal Weight,1.0161769664256188
2021-07-14,Equal Weight,0.976609648175355
2021-07-15,Equal Weight,1.004006271916237
2021-07-16,Equal Weight,1.0100377464381456
2021-07-19,Equal Weight,0.9097468379535669
2021-07-20,Equal Weight,0.9623155414080107
2021-07-21,Equal Weight,0.9534039847998543
2021-07-22,Equal Weight,0.9873664460218474
2021-07-23,Equal Weight,0.9513530557926784
2021-07-26,Equal Weight,0.9475315263602584
2021-07-27,Equal Weight,0.9653022243915306
2021-07-28,Equal Weight,0.9656487267046359
2021-07-29,Equal Weight,0.9954063910706215
2021-07-30,Equal Weight,1.0273122058186348
2021-08-02,Equal Weight,1.0310689434126061
2021-08-03,Equal Weight,1.0535742603231677
2021-08-04,Equal Weight,1.0581348199305474
2021-08-05,Equal Weight,1.08068028347788
2021-08-06,Equal Weight,1.0735215202578932
2021-08-09,Equal Weight,1.1044812316014596
2021-08-10,Equal Weight,1.1036660734711012
2021-08-11,Equal Weight,1.09246189208906
2021-08-12,Equal Weight,1.0791007403354262
2021-08-13,Equal Weight,1.081478281861092
2021-08-16,Equal Weight,1.1100349739353992
2021-08-17,Equal Weight,1.1007016687009625
2021-08-18,Equal Weight,1.0975841547687128
2021-08-19,Equal Weight,1.1109664288638337
2021-08-20,Equal Weight,1.0356075160792027
2021-08-23,Equal Weight,0.9764139126405853
2021-08-24,Equal Weight,0.9826524081821126
2021-08-25,Equal Weight,1.0042133222455067
2021-08-26,Equal Weight,0.9864142796007163
2021-08-27,Equal Weight,0.9931575563277881
2021-08-30,Equal Weight,1.0165647378772409
2021-08-31,Equal Weight,1.0195472766698135
2021-09-01,Equal Weight,1.0198591057257547
2021-09-06,Equal Weight,1.0308097136673804
2021-09-07,Equal Weight,1.0349864005466305
2021-09-08,Equal Weight,1.0275383442691437
2021-09-09,Equal Weight,1.0474856999403155
2021-09-10,Equal Weight,1.0461838751564363
2021-09-13,Equal Weight,1.0386950457468611
