date,ticker,drawdown
2025-03-12,MSN,-0.5171492831037402
2025-03-13,MSN,-0.5052010120888399
2025-03-14,MSN,-0.500281135788587
2025-03-17,MSN,-0.5044981726173753
2025-03-18,MSN,-0.5108237278605579
2025-03-19,MSN,-0.5185549620466696
2025-03-20,MSN,-0.5192578015181344
2025-03-21,MSN,-0.5227719988754579
2025-03-24,MSN,-0.5185549620466696
2025-03-25,MSN,-0.5185549620466696
2025-03-26,MSN,-0.5199606409895992
2025-03-27,MSN,-0.5122294068034872
2025-03-28,MSN,-0.5185549620466696
2025-03-31,MSN,-0.5305032330615699
2025-04-01,MSN,-0.5347202698903581
2025-04-02,MSN,-0.5361259488332877
2025-04-03,MSN,-0.5684565645206645
2025-04-04,MSN,-0.5923531065504648
2025-04-08,MSN,-0.6204666854090535
2025-04-09,MSN,-0.6464717458532481
2025-04-10,MSN,-0.621872364351983
2025-04-11,MSN,-0.5986786617936474
2025-04-14,MSN,-0.5782963171211706
2025-04-15,MSN,-0.5888389091931414
2025-04-16,MSN,-0.6035985380939004
2025-04-17,MSN,-0.597272982850718
2025-04-18,MSN,-0.5923531065504648
2025-04-21,MSN,-0.5916502670790001
2025-04-22,MSN,-0.5874332302502119
2025-04-23,MSN,-0.5811076750070294
2025-04-24,MSN,-0.5789991565926353
2025-04-25,MSN,-0.5642395276918764
2025-04-28,MSN,-0.5607253303345527
2025-04-29,MSN,-0.5607253303345527
2025-05-05,MSN,-0.5607253303345527
2025-05-06,MSN,-0.5642395276918764
2025-05-07,MSN,-0.5719707618779881
2025-05-08,MSN,-0.5572111329772291
2025-05-09,MSN,-0.5586168119201587
2025-05-12,MSN,-0.5642395276918764
2025-05-13,MSN,-0.5635366882204116
2025-05-14,MSN,-0.562131009277482
2025-05-15,MSN,-0.5586168119201586
2025-05-16,MSN,-0.5607253303345527
2025-05-19,MSN,-0.5642395276918764
2025-05-20,MSN,-0.5593196513916233
2025-05-21,MSN,-0.552994096148441
2025-05-22,MSN,-0.5501827382625821
2025-05-23,MSN,-0.5558054540342997
2025-05-26,MSN,-0.5515884172055114
2025-05-27,MSN,-0.5501827382625819
2025-05-28,MSN,-0.5508855777340467
2025-05-29,MSN,-0.5543997750913703
2025-05-30,MSN,-0.5642395276918764
2025-06-02,MSN,-0.5635366882204115
2025-06-03,MSN,-0.5551026145628349
2025-06-04,MSN,-0.5494798987911171
2025-06-05,MSN,-0.537531627776217
2025-06-06,MSN,-0.5431543435479347
2025-06-09,MSN,-0.5494798987911171
2025-06-10,MSN,-0.5445600224908642
2025-06-11,MSN,-0.5445600224908642
2025-06-12,MSN,-0.537531627776217
2025-06-13,MSN,-0.5403429856620758
